Site,Hole,Core,Type,Section,Interval,Depth CSF,TotalCPS,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Mo,Ag,Ba
U1523,B,5,F,1,120,57.3,134251,141,3358,107822,368,3476,44750,-2096,34276,25240,12114,707,2052,130049,4472,324,906,1900,5302,6865,1217,7887,-41,511068,4058
U1523,B,5,F,1,122,57.32,136572,149,4029,125699,335,3117,37806,-1925,36027,26916,12769,753,1760,130172,4276,269,899,1880,5099,6795,1440,7659,143,215219,1618
U1523,B,5,F,1,124,57.34,135759,141,3498,105749,257,3328,47419,-1911,34402,25965,12118,783,1954,130189,4299,259,877,1637,5305,7210,1372,8492,136,214064,1481
U1523,B,5,F,1,126,57.36,133949,81,2955,99076,195,3589,52239,-2287,31208,24380,11462,212,1773,126245,4495,252,1003,2062,5509,6951,1271,7672,249,209347,1520
U1523,B,5,F,1,128,57.38,135349,153,3493,114337,342,3344,45471,-2306,33882,25108,12187,419,1785,126263,4490,308,884,1780,5339,7038,1196,7635,332,200023,1621
U1523,B,5,F,1,130,57.4,139150,176,4311,134971,314,2930,37156,-2092,36607,27244,13080,711,2158,130690,4413,303,873,1855,5505,7308,1279,7554,223,211209,1521
U1523,B,5,F,1,132,57.42,132680,87,2291,84149,211,3719,59803,-2928,30301,23561,11307,499,1911,124762,4357,241,883,1859,5114,6885,1363,7462,98,256675,1732
U1523,B,5,F,1,134,57.44,139402,188,4226,129097,275,2829,42808,-3121,35789,25057,12453,725,2080,128913,4415,303,955,1939,5156,6459,1251,7067,305,507127,4470
U1523,B,5,F,1,136,57.46,132874,226,3126,102922,330,3461,51048,-2823,30843,23049,11153,212,1604,122977,4395,280,847,1865,5221,6762,1284,7539,288,215927,1336
U1523,B,5,F,1,138,57.48,135144,121,3748,121160,293,3027,38248,-2324,35951,25443,12352,680,1793,129615,4418,327,967,1758,5183,6740,1287,7268,137,210268,1404
U1523,B,5,F,1,140,57.5,138175,115,3963,130471,325,3215,37565,-2399,36678,25721,12689,524,2066,132349,4391,242,920,1760,5027,6634,1206,7308,26,210699,1422
U1523,B,5,F,1,142,57.52,135307,163,3974,124657,213,2798,36275,-2289,35268,24981,12478,941,1945,129205,4461,301,912,1780,5197,6218,1267,7147,49,505777,4089
U1523,B,5,F,1,144,57.54,133148,127,4016,127507,330,2922,31927,-683,34987,23994,12104,649,1968,125975,4455,289,862,1781,5045,6218,1122,7069,229,202497,1639
U1523,B,5,F,1,146,57.56,128772,94,3573,119608,410,2800,29788,-238,33351,23472,11888,861,1770,120878,4315,268,808,1779,4918,6419,1027,6869,167,516457,3688
U1523,B,5,F,1,149,57.59,131665,143,3675,119492,300,2723,31731,20,34437,23954,12136,520,1782,124517,4364,274,912,1851,5033,6495,1206,7141,109,218007,1230
U1523,B,5,F,2,2,57.63,142163,174,4054,127152,385,3647,47627,-3546,35042,24569,12537,667,1837,131964,4401,264,820,1920,5391,7012,1080,7894,28,215386,1573
U1523,B,5,F,2,4,57.65,142022,202,4052,126196,469,3891,50633,-3959,34509,24732,12355,634,1754,130966,4375,219,935,2016,5306,6397,1224,6848,295,215487,1542
U1523,B,5,F,2,6,57.67,143994,151,4198,131073,279,3497,51069,-4588,34989,25125,12255,344,1648,132649,4524,297,1019,1969,5227,6839,1171,7485,-32,506606,4251
U1523,B,5,F,2,8,57.69,140167,152,3210,99524,259,4093,65852,-4911,31360,24603,11502,441,2028,127504,4601,231,798,1980,5398,7080,1325,8249,96,212914,1553
U1523,B,5,F,2,10,57.71,138437,147,3048,98867,175,4082,62759,-4569,31441,23960,11542,384,1751,128568,4463,350,870,1964,5093,6986,1207,7265,125,505851,4191
U1523,B,5,F,2,12,57.73,138511,156,2843,96106,189,4025,62642,-4670,31841,25286,11611,277,2301,129456,4475,269,919,1905,5200,6987,1113,7667,200,212960,1698
U1523,B,5,F,2,14,57.75,136836,142,3660,112699,236,3465,51014,-4281,33196,24341,11851,652,1929,127839,4445,279,903,1967,5412,6861,1286,7964,-34,212967,1479
U1523,B,5,F,2,16,57.77,137613,104,3042,96094,145,4271,61954,-4664,31770,24831,11698,374,1777,129516,4713,321,921,1954,5156,6993,1132,7408,-7,216714,1538
U1523,B,5,F,2,18,57.79,140412,197,3766,123171,302,3056,48702,-4332,35398,22441,12084,525,1736,135019,4365,280,843,2046,5197,6004,1090,6676,-11,213896,1658
U1523,B,5,F,2,20,57.81,138724,154,3531,115861,201,3118,51317,-4259,34355,23188,12153,704,2096,131742,4541,274,957,2077,5091,6239,1144,6732,174,212848,1605
U1523,B,5,F,2,22,57.83,139665,129,3684,118069,253,3429,51674,-4725,34465,23442,11998,945,2498,131690,4430,286,891,1988,5228,6427,1218,6875,430,215077,1732
U1523,B,5,F,2,24,57.85,141589,102,4234,132543,372,3258,44212,-4272,36505,25459,12390,617,1772,134139,4500,266,956,1846,5287,6463,1345,6971,36,505358,4334
U1523,B,5,F,2,26,57.87,141869,163,4153,129031,387,3471,48048,-4833,35117,24597,12025,898,1948,132308,4465,341,901,2010,5166,6294,1324,7050,614,505601,4651
U1523,B,5,F,2,28,57.89,141735,157,4040,129434,393,3538,45650,-4501,36284,26618,12851,538,1842,134246,4443,263,890,1897,5202,6586,1157,7001,138,211890,1511
U1523,B,5,F,2,30,57.91,140724,126,3675,119164,264,3727,53733,-4460,34137,23306,11986,730,1909,130875,4528,290,1033,2060,5182,6207,1148,6557,44,213484,1490
U1523,B,5,F,2,32,57.93,141457,133,3708,121402,251,3607,51060,-4304,34988,25805,12451,738,1536,133860,4295,243,859,2024,5387,6712,1249,6974,308,504083,3889
U1523,B,5,F,2,34,57.95,141753,71,4125,125956,294,3698,50061,-3914,35024,24538,12510,441,1892,133304,4432,309,886,1899,5160,6395,1423,6910,85,212718,1655
U1523,B,5,F,2,36,57.97,141967,122,4134,128867,353,3583,50122,-4179,34667,24297,12182,721,2246,132591,4517,293,892,1887,5266,6658,1350,7634,-49,504799,4213
U1523,B,5,F,2,38,57.99,138916,139,3307,105923,309,3927,57937,-4346,32526,24578,11507,323,1677,131210,4528,277,894,1921,5385,6500,1306,6936,283,212566,1678
U1523,B,5,F,2,40,58.01,139036,161,3657,119645,286,3714,50602,-3973,34299,24219,11949,506,2040,129823,4570,338,906,1854,5093,6407,1168,6935,139,505407,4144
U1523,B,5,F,2,42,58.03,139036,94,3646,116675,263,3609,50815,-4109,34539,24211,11730,758,1981,133065,4561,346,846,1766,5208,6543,1334,6666,385,505733,4711
U1523,B,5,F,2,44,58.05,136674,148,3024,103766,233,3634,55147,-4282,32701,23699,11334,571,2006,129952,4588,244,915,1911,5082,6589,1258,6875,-54,504340,4269
U1523,B,5,F,2,46,58.07,137837,154,3678,115263,192,3315,48890,-4146,34209,23755,12277,658,1796,131446,4465,311,860,1853,5260,6400,1209,6953,138,505441,4411
U1523,B,5,F,2,48,58.09,137822,138,3411,110921,280,3482,53739,-4335,33131,22892,11581,472,1597,130321,4399,294,911,2029,5249,6090,1358,6437,623,206111,1793
U1523,B,5,F,2,50,58.11,140011,89,3499,114050,264,3826,52606,-4231,34751,25215,12449,592,2177,133983,4510,353,918,1951,5361,6405,1151,6711,44,459569,185
U1523,B,5,F,2,52,58.13,140213,127,3827,120114,253,3541,50505,-4592,35227,24362,12375,619,2167,133883,4460,302,853,1881,5373,6524,1166,6951,336,506126,4466
U1523,B,5,F,2,54,58.15,140829,116,3665,120546,320,3850,49928,-4452,34896,25732,11876,351,1897,133394,4426,227,841,1885,5025,6543,1196,7170,325,504269,4552
U1523,B,5,F,2,56,58.17,138621,136,3501,114242,296,3821,50644,-4383,33892,24282,12000,739,1969,132275,4484,247,849,1901,5182,6568,1349,6773,410,505797,4324
U1523,B,5,F,2,58,58.19,138330,156,3272,112086,307,3687,53224,-4161,33578,22811,12317,645,1866,130661,4656,261,917,2090,5208,6019,1149,6266,93,209201,1519
U1523,B,5,F,2,60,58.21,138556,140,3309,111539,247,3797,51400,-4623,34667,24138,12374,616,2187,132229,4477,291,849,1879,5267,6454,935,7223,168,217102,1432
U1523,B,5,F,2,62,58.23,136745,120,2738,100956,236,3945,56664,-4434,32574,24199,11502,423,2035,127832,4573,305,840,1822,5278,6537,1032,7204,259,503943,3926
