 Spectrum , Sample , Throughput , Mg-Ka Area , Mg-Ka AreaStd , Al-Ka Area , Al-Ka AreaStd , Si-Ka Area , Si-Ka AreaStd , P -Ka Area , P -Ka AreaStd , S -Ka Area , S -Ka AreaStd , Cl-Ka Area , Cl-Ka AreaStd , Ar-Ka Area , Ar-Ka AreaStd , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Cr-Ka Area , Cr-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Rh-La-Coh Area , Rh-La-Coh AreaStd 
374-U1524A-1H-1-A_SHLF9353571 X 820.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,820,1.68E+05,318,44,11576,123,129415,362,637,63,2157,93,47312,285,-5016,154,74643,307,29543,225,24544,213,1021,162,3454,181,222198,492,42119,205
374-U1524A-1H-1-A_SHLF9353571 X 840.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,840,1.59E+05,156,41,10067,115,116859,344,525,61,2344,93,48878,286,-4888,151,71066,300,29140,223,22887,206,895,159,2318,176,206487,475,41323,203
374-U1524A-1H-1-A_SHLF9353571 X 860.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,860,1.59E+05,211,42,9605,113,114094,340,461,60,2430,95,53340,296,-4458,157,67702,296,28180,222,22002,205,991,162,2234,177,202705,472,42554,209
374-U1524A-1H-1-A_SHLF9353571 X 880.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,880,1.67E+05,207,42,9668,113,103651,325,523,60,2899,98,62226,314,-5456,159,67265,298,29723,229,24200,213,1229,165,3279,183,225656,496,44327,215
374-U1524A-1H-1-A_SHLF9353571 X 900.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,900,1.60E+05,175,42,9406,113,95627,314,378,60,2582,96,55473,375,-5208,180,68262,298,28745,223,24078,212,1439,164,2695,178,224201,501,42519,291
374-U1524A-1H-1-A_SHLF9353571 X 910.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,910,1.50E+05,138,40,9068,110,94443,310,417,58,1982,90,46859,280,-3016,157,63520,286,27063,215,22993,204,884,156,2442,172,209997,476,39596,201
374-U1524A-1H-1-A_SHLF9353571 X1000.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1000,1.53E+05,250,42,11823,123,116862,344,521,61,1515,87,36903,259,-4147,147,67181,291,22772,203,22828,202,1203,155,1864,168,222298,487,37564,192
374-U1524A-1H-1-A_SHLF9353571 X1040.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1040,1.62E+05,158,40,8838,109,95239,312,574,60,2257,93,52666,295,-4339,159,71988,303,25577,217,23335,209,1074,160,2958,178,231483,500,42776,209
374-U1524A-1H-1-A_SHLF9353571 X1060.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1060,1.55E+05,265,39,8667,107,89174,302,394,57,2394,92,52278,292,-4015,156,70277,299,25182,214,23663,206,761,158,2442,174,218102,485,41524,206
374-U1524A-1H-1-A_SHLF9353571 X1080.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1080,1.67E+05,254,43,9828,115,100332,320,400,58,2579,95,58053,305,-5228,156,75622,309,26433,219,25368,214,934,164,2750,180,233284,502,43738,211
