Site,Hole,Core,Core Type,Section,Interval (cm),Ar,Ba,Cr,S,Mn,Ca,Si,K,P,Ti,Al,Fe,Rh,Cl,Zn,Rb,Cu,Zr,Mo,Ni,Br,Ga,Pb,Nb,Y,Sr,Bi,ln(Al/Al),predicted_ln(Al/Al),predicted_Al/Al,ln(Ba/Al),predicted_ln(Ba/Al),predicted_Ba/Al
U1456,A,2,H,2,40,-16691,-5240,819,-926,766,764923,103310,34434,-3057,26949,6189,354353,42464,121462,366,1511,68,5033,286,755,1139,81,190,144,31,54618,2,0.0,0.0,1.0,-0.16645202442427365,-5.351313994524073,0.004741916052239094
U1456,A,2,H,2,42,-30227,-5142,932,-853,1171,804417,105672,30597,-2578,27115,5434,328872,63493,97439,352,1519,84,5093,182,591,1056,130,110,91,101,52824,46,0.0,0.0,1.0,-0.05523340216045829,-5.321675337100224,0.004884563575947451
U1456,A,2,H,2,44,-26270,-4270,631,-107,1069,713944,82119,26552,-3079,22828,4701,289560,47365,100690,224,1282,40,4402,282,577,888,56,120,271,-114,48079,26,0.0,0.0,1.0,-0.09616142480146023,-5.332582248347648,0.004831577556716923
U1456,A,2,H,2,46,-30662,-4598,1109,-38,985,757137,99295,28791,-3090,26814,5590,319012,58604,106962,308,1650,57,5674,423,615,727,53,157,313,2,41935,35,0.0,0.0,1.0,-0.19535786082601794,-5.359017112628062,0.0047055288402737235
U1456,A,2,H,2,48,-6992,-5153,1158,35,1798,633592,100854,41978,-2909,28457,6988,379378,27362,128829,345,1779,85,5278,232,781,1232,68,143,212,182,46596,31,0.0,0.0,1.0,-0.30461532292572296,-5.388133140360281,0.004570497854197008
U1456,A,2,H,2,50,-29127,-4953,1300,-806,1707,612476,97814,37685,-1913,27267,6312,352886,51615,119540,392,1766,124,4287,416,779,1051,87,127,445,323,26279,25,0.0,0.0,1.0,-0.24245912993747243,-5.371569132703545,0.00464683408729059
U1456,A,2,H,2,52,-29117,-4083,1211,-1207,1641,627773,103279,38895,-1954,27938,7062,386203,55395,113140,377,1924,151,4720,206,768,1146,94,102,487,279,22924,34,0.0,0.0,1.0,-0.5478962851687559,-5.4529650988120055,0.004283584590314517
U1456,A,2,H,2,54,-20559,-4518,1122,-140,1773,713595,81975,28915,-3676,23530,4390,310449,51867,133514,293,1721,108,5407,250,691,894,52,108,61,212,46701,22,0.0,0.0,1.0,0.028740190958731558,-5.299297209153218,0.004995103186419166
U1456,A,2,H,2,56,-32034,-4518,1474,-1884,2228,807620,109284,37546,-2602,23154,6482,346746,59845,99186,476,1718,148,3972,109,635,1077,103,156,238,261,18932,35,0.0,0.0,1.0,-0.36095968667354406,-5.403148353288609,0.004502383511140986
U1456,A,2,H,2,58,-40535,-4176,1190,-1822,2008,811141,110520,35316,-2254,23818,6965,348339,69509,89326,405,1898,146,4342,379,739,1243,117,127,374,219,19259,33,0.0,0.0,1.0,-0.5115437566514314,-5.443277511272394,0.0043252838474984925
