 Spectrum , Sample , Throughput , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Co-Ka Area , Co-Ka AreaStd , Ni-Ka Area , Ni-Ka AreaStd , Cu-Ka Area , Cu-Ka AreaStd , Zn-Ka Area , Zn-Ka AreaStd , Ga-Ka Area , Ga-Ka AreaStd , As-Ka Area , As-Ka AreaStd , Br-Ka Area , Br-Ka AreaStd , Rb-Ka Area , Rb-Ka AreaStd , Sr-Ka Area , Sr-Ka AreaStd , Y -Ka Area , Y -Ka AreaStd , Zr-Ka Area , Zr-Ka AreaStd , Nb-Ka Area , Nb-Ka AreaStd , Mo-Ka Area , Mo-Ka AreaStd , Rh-Ka-Inc Area , Rh-Ka-Inc AreaStd , Rh-Ka-Coh Area , Rh-Ka-Coh AreaStd 
363-U1487A-3H-4-A_SHLF8287831 X 960.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,960,1.44E+05,917,42,65215,244,500,35,1173,44,35707,184,307,49,4662,74,236,31,438,34,78,26,125,28,1989,55,896,60,43157,219,685,83,3993,146,262,135,166,172,47725,551,28955,324
363-U1487A-3H-4-A_SHLF8287831 X 980.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,980,1.45E+05,1094,44,64102,242,595,37,1190,45,37442,189,348,50,4676,74,260,31,511,34,72,25,97,27,1998,54,971,61,42895,218,761,83,4504,148,324,134,254,173,47885,555,29250,326
363-U1487A-3H-4-A_SHLF8287831 X1000.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1000,1.49E+05,1100,46,56239,227,572,37,1253,46,44997,207,382,54,4659,75,214,33,452,35,113,28,186,29,1977,55,1278,64,40090,212,878,86,5304,152,414,138,220,175,49417,558,29710,331
363-U1487A-3H-4-A_SHLF8287831 X1020.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1020,1.51E+05,1292,47,49473,214,558,37,1294,47,50502,219,507,57,4808,76,316,32,587,35,164,27,174,29,2042,56,1592,67,39469,211,987,88,6616,157,781,140,489,178,49343,566,29958,334
363-U1487A-3H-4-A_SHLF8287831 X1040.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1040,1.52E+05,1368,47,55300,225,570,37,1317,47,47023,211,427,54,4916,76,267,33,438,35,109,28,124,28,2005,56,1817,67,37863,206,1095,89,7218,159,666,141,271,178,51195,573,29768,335
363-U1487A-3H-4-A_SHLF8287831 X1060.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1060,1.51E+05,1400,50,50315,216,651,39,1451,49,50795,220,483,57,4713,75,302,33,549,36,121,28,168,28,1924,55,1786,67,38033,207,1160,90,7094,157,824,140,259,177,50470,570,29759,334
363-U1487A-3H-4-A_SHLF8287831 X1100.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1100,1.48E+05,1419,49,54634,224,629,38,1508,49,46487,210,495,55,4830,75,307,32,514,34,99,26,149,28,1901,54,1375,66,38383,208,1175,88,7106,158,816,139,402,175,49313,565,29470,331
363-U1487A-3H-4-A_SHLF8287831 X1120.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1120,1.53E+05,1336,49,47999,211,772,40,1558,50,53548,225,559,57,4759,75,260,33,567,36,110,28,133,28,2155,56,1622,68,37872,207,1449,91,9033,165,811,142,537,179,51306,567,30075,335
363-U1487A-3H-4-A_SHLF8287831 X1140.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1140,1.55E+05,1526,50,42862,200,755,40,1492,50,57128,232,622,59,4821,76,226,33,649,38,105,28,145,29,2157,56,1810,69,36537,204,1831,94,10826,170,1283,144,334,180,51994,574,30127,337
363-U1487A-3H-4-A_SHLF8287831 X1160.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1160,1.55E+05,1378,48,44481,203,765,40,1633,51,62117,242,613,62,4730,76,193,32,630,38,82,28,85,28,2275,57,1257,65,37939,208,1578,92,11591,173,811,142,352,181,51164,570,30226,336
